world_rank,university_name,country,teaching,international,research,citations,income,num_students,student_staff_ratio,international_students,female_male_ratio
276-300,Tilburg University,Netherlands,33,62.2,45.1,34.9,55.1,7576,22.4,0.1,0.961
276-300,Tokyo Medical and Dental University (TMDU),Japan,42.7,21.8,22.9,51.1,56.9,2872,3.3,0.07,1.041
276-300,University College Cork,Republic of Ireland,26.7,70.8,22.2,56.9,45.9,15805,22.3,0.15,1.222
276-300,University of Bologna,Italy,31,43.1,23.2,64.5,34.9,85532,22.9,0.07,1.273
276-300,University of Cincinnati,United States of America,32,26,22.4,67.8,35.6,36108,15.7,0.06,1.174
276-300,University of Erlangen-Nuremberg,Germany,28.4,49,15.3,68.7,46.8,36146,53.9,0.09,0.961
276-300,University of Fribourg,Switzerland,29.2,84.4,19.7,58.6,48.2,10416,46.9,0.19,1.381
276-300,University of Georgia,United States of America,39.7,35.3,28.9,46.6,31.1,33119,19.9,0.07,1.326
276-300,University of Macau,Macau,17.1,73.3,20.3,68.1,33.6,8521,14.9,0.31,1.381
276-300,University of Milan,Italy,25.3,37.4,22.9,66.9,40.1,58618,24.3,0.05,1.5
276-300,University of Nebraska-Lincoln,United States of America,31,47.8,24.4,57.5,35,21789,16.4,0.09,0.852
276-300,University of South Australia,Australia,25.7,80.8,24,52.7,83.9,18971,26.2,0.32,1.439
276-300,University of South Carolina,United States of America,34.5,37.3,27.5,55.1,31.8,29336,16.3,0.01,1.222
276-300,University of Wollongong,Australia,25.2,80.4,27.8,55.1,44.7,16489,25.4,0.24,1
276-300,Victoria University of Wellington,New Zealand,21.6,84.2,28.5,53.8,49.7,17142,21.1,0.21,1.222
276-300,Virginia Polytechnic Institute and State University,United States of America,40.1,28.9,40,40.7,42.6,30850,18.6,0.1,0.724
301-350,Autonomous University of Madrid,Spain,28.6,48.8,19.3,59.7,32.2,28296,13,0.15,1.273
301-350,Bangor University,United Kingdom,22.4,73.1,23,55.8,31.1,9567,19.5,0.22,1.222
301-350,Charles Darwin University,Australia,20.3,45.5,17.8,64.5,32.7,5570,25.4,0.15,2.03
301-350,Charles University in Prague,Czech Republic,31.5,53.9,24.3,50.1,29.4,51438,13,0.15,1.632
301-350,Creighton University,United States of America,40.7,29.1,10.4,63.3,32.4,7086,8.3,0.02,1.326
301-350,Deakin University,Australia,20.1,71.8,20.6,57.5,30.6,32713,30.4,0.17,1.5
301-350,Drexel University,United States of America,31.8,42.2,14.3,57.5,34.6,20713,10.8,0.18,0.923
301-350,Hong Kong Baptist University,Hong Kong,21.2,62.3,13.2,70.8,29.1,10441,11,0.25,1.564
301-350,Kansas State University,United States of America,27,41.5,16.5,61,39.2,21379,15.1,0.1,1
301-350,Koç University,Turkey,21.6,49.8,24.4,58.5,50.6,4488,14.6,0.08,1.083
301-350,Macquarie University,Australia,24,89.2,24.8,50.2,36.2,27930,20,0.44,1.222
301-350,Novosibirsk State University,Russian Federation,24.6,43.8,17.2,70.5,33.4,7131,7.1,0.13,1.083
301-350,Oregon State University,United States of America,27.8,36.7,21.1,63.3,32,22578,16.8,0.09,0.887
301-350,Polytechnic University of Milan,Italy,27.6,42.9,26.6,55.8,67.8,30025,22.2,0.12,0.515
301-350,Renmin University of China,China,34.9,44.4,14.7,59.6,42.8,24954,12.7,0.06,1
301-350,San Diego State University,United States of America,19.7,26.9,24.8,65.6,29.2,27420,31.7,0.05,1.326
301-350,Sapienza University of Rome,Italy,32.3,37.5,28.1,50.7,34.2,120986,32.3,0.07,1.439
301-350,Sharif University of Technology,Iran,28.7,19.4,34.7,50.4,86.2,10977,18.7,0,0.37
301-350,State University of Campinas,Brazil,43.4,20.7,38.8,28,44.5,27095,15.3,0.03,0.923
301-350,Sun Yat-sen University,China,32.5,37,25.2,54.1,58.9,51351,16.6,0.08,1.041
301-350,University of Bath,United Kingdom,29.2,76.1,25.1,47.5,36.7,12830,18.8,0.3,0.852
301-350,University of Canterbury,New Zealand,21.1,88.2,23.4,53.8,49.5,12187,16.5,0.2,1.041
301-350,University of Cologne,Germany,25.6,52.1,18.4,65.3,28.8,43280,43.4,0.11,1.5
301-350,University of Connecticut,United States of America,37.6,38.8,27.1,45.4,31.1,25742,13,0.11,1.041
301-350,University of Crete,Greece,19,47,16.8,67,36,14650,26.9,0.05,1.703
301-350,University of Duisburg-Essen,Germany,21.9,49.2,13.7,64.1,44.2,36051,46.6,0.11,0.961
301-350,University of Essex,United Kingdom,31.6,86.7,29,39.3,29.1,12695,19.8,0.39,1.222
301-350,University of Houston,United States of America,39.3,33.1,25.8,44.2,43.2,40325,43.7,0.09,1
301-350,University of Manitoba,Canada,31.6,43.4,29.4,48.2,43.5,28576,27.8,0.11,1.222
301-350,University of Marrakech Cadi Ayyad,Morocco,16.3,45.1,6.5,83,28.6,56060,38.7,0.01,0.852
301-350,University of Montana,United States of America,29.1,20.7,13.7,75,34.4,12470,15.2,0.03,1.174
301-350,University of Nebraska Medical Center,United States of America,36.4,34.8,16.5,51.5,34.5,2857,2.6,0.08,2.03
301-350,University of Padua,Italy,20.7,40.4,18.2,68,32.9,62577,18.3,0.04,1.273
301-350,University of Pisa,Italy,22.4,36.7,18.8,69.2,37.7,47247,18,0.04,1.083
301-350,University of Southern Denmark,Denmark,19.5,67.1,20.5,61.2,72.6,22210,12.7,0.16,1.083
301-350,University of Stirling,United Kingdom,21.5,66.9,25.1,49.9,30.7,7828,15.9,0.22,1.564
301-350,University of Stuttgart,Germany,30.6,59.3,17.3,56.9,48.2,24099,45.4,0.2,0.449
301-350,University of Tampere,Finland,22.9,45.6,22.2,58.7,42.5,10045,9.5,0.04,1.941
301-350,University of Tsukuba,Japan,33.4,36.1,21.6,51.1,36.9,15930,12.6,0.16,0.613
301-350,University of Valencia,Spain,17.9,43.7,12,72.7,30.8,58413,15.4,0.09,1.5
301-350,University of Warsaw,Poland,20.8,41.6,13.6,70,28.5,49292,14.1,0.07,2.03
301-350,Zhejiang University,China,36,21.5,33.1,40.2,88.6,47508,15.9,0.05,0.695
351-400,Aalborg University,Denmark,23.8,65.8,28.5,39.9,43.9,17422,15.9,0.15,0.923
351-400,Aberystwyth University,United Kingdom,20.7,66.5,20.6,52.2,33,9252,19.2,0.18,0.923
351-400,Bayreuth University,Germany,21.3,53.9,12.9,61.8,34.8,12520,35.5,0.08,0.852
351-400,Bielefeld University,Germany,27.5,48.6,19.1,52,37.4,21428,67.8,0.08,1.326
351-400,Claude Bernard University Lyon 1,France,19.1,52.1,17.2,62.6,33.6,35308,16.1,0.11,1
351-400,Curtin University,Australia,20.1,91.3,17.1,45.3,36.1,30333,17.1,0.38,1.128
351-400,Ewha Womans University,South Korea,23.5,36,18,57.6,61.3,17625,14.4,0.06,1
351-400,George Mason University,United States of America,26.3,35.8,20.3,53.9,28.7,26622,17,0.07,1.174
351-400,Hanyang University,South Korea,31.5,48.4,32.3,29,88.7,16729,10.4,0.19,1
351-400,Hokkaido University,Japan,38.4,25.2,27.5,32.2,43.4,18162,8.2,0.09,0.408
351-400,Indian Institute of Technology Bombay,India,34.2,19.5,24.6,43.5,49.7,8327,14.9,0.01,0.19
351-400,Indian Institute of Technology Roorkee,India,25.2,16.6,14.3,62.6,69,8061,18.7,0.01,0.205
351-400,Isfahan University of Technology,Iran,20.7,20,27.3,48.9,84.1,10964,26.5,0.01,0.639
351-400,King Mongkut’s University of Technology Thonburi,Thailand,16.7,22.5,10,75,56.5,17791,23.7,0.01,0.724
351-400,Kyushu University,Japan,36.5,26.1,28.5,33.6,68.7,18925,6.7,0.08,0.389
351-400,Lehigh University,United States of America,25.4,34.5,16.6,56.3,39.2,6300,11.3,0.15,0.786
351-400,Murdoch University,Australia,21.2,85.3,17.8,46.5,40.5,16606,32.8,0.43,1.439
351-400,National Cheng Kung University,Taiwan,31.8,26.7,40.1,28.4,100,21234,14.4,0.11,0.563
351-400,National Sun Yat-Sen University,Taiwan,26.4,24.2,32.9,39,47,9336,19.6,0.04,0.587
351-400,National Taiwan University of Science and Technology (Taiwan Tech),Taiwan,27.7,26.7,42.6,30.9,82,7446,17.4,0.11,0.515
351-400,Royal College of Surgeons in Ireland,Republic of Ireland,24.7,82.6,18.9,43.5,28.4,2473,15.6,0.63,1.222
351-400,Ruhr University Bochum,Germany,31.5,53.6,22.5,42,47.4,38675,46.3,0.13,0.923
351-400,Swinburne University of Technology,Australia,20.2,86.9,16.3,50.2,38.8,20314,36.5,0.33,0.786
351-400,UiT The Arctic University of Norway,Norway,20.7,60,16.9,53.2,38.8,10398,12.2,0.1,1.5
351-400,Umeå University,Sweden,21.2,50.3,25.7,52.7,31.3,16667,11.9,0.07,1.5
351-400,University of Bari Aldo Moro,Italy,29.1,38.1,18.1,52,35.2,51560,65.1,0.02,1.857
351-400,University of Eastern Finland,Finland,24.3,44.1,21.6,53.8,32.8,10798,17.3,0.06,1.778
351-400,University of Ferrara,Italy,19.5,42.1,15.2,64.5,40.4,18882,30.2,0.07,1.273
351-400,University of Florence,Italy,18.1,37.4,17.3,60.8,35.4,54290,17.2,0.07,1.439
351-400,University of Graz,Austria,23.7,64.8,17.3,55.1,30.2,20584,26.8,0.12,1.857
351-400,University of Hertfordshire,United Kingdom,16.2,74.9,10.9,65,29.6,19665,19.4,0.27,1.174
351-400,University of Lisbon,Portugal,30.1,46.8,22.8,44.8,33.9,47849,17.5,0.09,1.041
351-400,University of Liège,Belgium,25.9,69.1,18.4,44.6,70.4,20951,25.9,0.23,1.174
351-400,University of Minho,Portugal,20.2,49.7,16.2,60.6,44.5,19090,18.8,0.09,1.083
351-400,University of Missouri,United States of America,31.7,29.6,22,46.6,31.2,29885,14.1,0.05,1.128
351-400,University of Navarra,Spain,29.5,46.2,22.3,41.7,90.2,11259,10.6,0.16,1.083
351-400,University of Portsmouth,United Kingdom,16.1,73.3,10.6,61.6,29.2,20161,19.1,0.23,0.818
351-400,University of Rome III,Italy,19.3,48,11.8,62.1,37.7,36353,61.2,0.05,1.439
351-400,University of Seoul,South Korea,21,34.3,20.2,63.3,29.1,10243,19,0.03,0.563
351-400,University of Turku,Finland,24.3,46.3,21.8,47.7,32.1,12326,14.6,0.05,1.564
351-400,University of Waikato,New Zealand,18.6,80.3,17,50,50,10159,17,0.25,1.326
351-400,Vrije Universiteit Brussel,Belgium,31.2,54.5,17.9,48.1,44.8,9020,17.1,0.16,1.222
351-400,Waseda University,Japan,25.5,43.1,16.3,55.5,32.6,52316,16.9,0.08,0.538
351-400,Washington State University,United States of America,28.5,36,27.5,44.2,54.5,24550,18.3,0.07,1
351-400,Western Sydney University,Australia,17.8,50.1,22.4,58.7,30.4,30704,32.2,0.09,1.273
351-400,Wuhan University,China,34.1,33.1,17.4,48.5,85.9,46227,14.4,0.07,1
351-400,Wuhan University of Technology,China,16.2,21.4,8,75.8,57.8,50260,14.9,0.02,0.449
